Timestamp,CAM  Cumulative,CCM  Cumulative,COR  Cumulative
2017-08-11  18:28:19.084,0,0,0
2017-08-11  18:33:19.087,0,0,0
2017-08-11  18:38:19.090,72,0,0
2017-08-11  18:43:19.092,81,0,0
2017-08-11  18:48:19.093,94,0,0
2017-08-11  18:53:19.095,105,0,0
2017-08-11  18:58:19.097,120,0,0
2017-08-11  19:03:19.099,130,0,0
2017-08-11  19:08:19.101,132,0,0
2017-08-11  19:13:19.102,143,0,0
2017-08-11  19:18:19.104,151,0,0
2017-08-11  19:23:19.107,163,0,0
2017-08-11  19:28:19.109,171,1,0
2017-08-11  19:33:19.111,181,4,0
2017-08-11  19:38:19.112,195,6,0
2017-08-11  19:43:19.149,208,8,0
2017-08-11  19:48:19.117,220,11,0
2017-08-11  19:53:19.119,225,14,0
2017-08-11  19:58:19.121,235,18,0
2017-08-11  20:03:19.123,244,24,0
2017-08-11  20:08:19.125,251,27,0
2017-08-11  20:13:19.126,263,32,0
2017-08-11  20:18:19.128,271,45,0
2017-08-11  20:23:19.130,288,52,0
2017-08-11  20:28:19.166,300,64,0
2017-08-11  20:33:19.168,313,71,0
2017-08-11  20:38:19.135,318,83,0
2017-08-11  20:43:19.136,328,97,0
2017-08-11  20:48:19.137,338,104,0
2017-08-11  20:53:19.173,346,111,0
2017-08-11  20:58:19.142,356,117,0
2017-08-11  21:03:19.144,364,132,0
2017-08-11  21:08:19.146,377,140,0
2017-08-11  21:13:19.148,390,155,0
2017-08-11  21:18:19.186,404,161,0
2017-08-11  21:23:19.153,411,175,0
2017-08-11  21:28:19.154,421,184,0
2017-08-11  21:33:19.156,429,194,0
2017-08-11  21:38:19.159,436,201,0
2017-08-11  21:43:19.159,445,208,0
2017-08-11  21:48:19.162,453,224,0
2017-08-11  21:53:19.164,468,232,0
2017-08-11  21:58:19.166,480,245,0
2017-08-11  22:03:19.168,495,251,0
2017-08-11  22:08:19.204,502,264,0
2017-08-11  22:13:19.204,510,275,0
2017-08-11  22:18:19.173,522,283,0
2017-08-11  22:23:19.176,527,290,0
2017-08-11  22:28:19.213,537,297,0
2017-08-11  22:33:19.215,543,313,0
2017-08-11  22:38:19.182,554,321,0
2017-08-11  22:43:19.184,569,334,0
2017-08-11  22:48:19.185,583,342,0
2017-08-11  22:53:19.223,594,352,0
2017-08-11  22:58:19.189,602,361,0
2017-08-11  23:03:19.191,611,372,0
2017-08-11  23:08:19.193,619,380,0
2017-08-11  23:13:19.194,627,388,0
2017-08-11  23:18:19.231,636,401,0
2017-08-11  23:23:19.199,645,410,0
2017-08-11  23:28:19.201,660,422,0
2017-08-11  23:33:19.203,672,430,0
2017-08-11  23:38:19.205,682,440,0
2017-08-11  23:43:19.206,692,450,0
2017-08-11  23:48:19.208,702,461,0
2017-08-11  23:53:19.211,711,468,0
2017-08-11  23:58:19.212,717,476,0
2017-08-12  00:03:19.215,10,10,0
2017-08-12  00:08:19.216,17,21,0
